Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Make,Bicycle_Value,cluster
MOUNTAIN,MEN'S,WHITE,DAVINCI,900,cluster_28
RACER,WOMEN'S,WHITE,NORTHROCK,600,cluster_18
OTHER,UNISEX,BLACK,SPECIALIZED,1000,cluster_32
OTHER,MEN'S,BLUE,RALE,1000,cluster_22
HYBRID,MEN'S,GRAY,NORCO,750,cluster_12
OTHER,MEN'S,GRAY,CANNONDALE,2000,cluster_39
OTHER,MEN'S,SILK,MERLIN,3000,cluster_36
HYBRID,MEN'S,SILK,MERLIN,3000,cluster_36
HYBRID,UNISEX,TURQUOISE,TREK,1000,cluster_25
RACER,MEN'S,BLACK,NORCO,600,cluster_16
MOUNTAIN,MEN'S,BLUE,KONA,600,cluster_7
HYBRID,MEN'S,RED,NORCO,600,cluster_30
HYBRID,MEN'S,BLACK,TREK,700,cluster_17
MOUNTAIN,WOMEN'S,BLACK,MARIN TERRALIND,630,cluster_11
MOUNTAIN,MEN'S,BLACK,TREK,849,cluster_37
HYBRID,UNISEX,ORANGE,NORCO,5000,cluster_33
HYBRID,MEN'S,PURPLE,TREK,1000,cluster_30
HYBRID,UNISEX,RED,SCHWINN,399,cluster_25
RACER,UNISEX,RED,NORCO,5500,cluster_33
MOUNTAIN,WOMEN'S,SILK,DECATHALON,380,cluster_11
HYBRID,WOMEN'S,SILK,DECATHALON,380,cluster_21
HYBRID,UNISEX,WHITE,DECATHLON,600,cluster_25
MOUNTAIN,UNISEX,BLACK,SPECIALIZED,1350,cluster_13
HYBRID,MEN'S,BLACK,NORCO,800,cluster_31
HYBRID,MEN'S,BLACK,JIM FELT,1500,cluster_17
MOUNTAIN,MEN'S,BLUE,CANNONDALE,1000,cluster_7
HYBRID,CHILD'S,BLUE,RALEIGH,350,cluster_35
HYBRID,MEN'S,GRAY,VITAMIN B,700,cluster_12
RACER,MEN'S,GRAY,VITAMIN B,700,cluster_16
OTHER,MEN'S,BLUE,ROCKY MOUNTAIN,1800,cluster_39
HYBRID,MEN'S,BLACK,GT,4429,cluster_9
MOUNTAIN,WOMEN'S,PINK,CANNONDALE,5500,cluster_33
OTHER,MEN'S,RED,NORCO,1000,cluster_5
HYBRID,MEN'S,RED,NORCO,1000,cluster_30
REGULAR,UNISEX,BLACK,MARIN,700,cluster_6
