X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,string in numeric
-8433028.405,5684594.799,2022,2022/09/17 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,800,KONA,DEW DELUXE,HYBRID,UNISEX,BLUE,Glebe - Dows Lake,September,Found
-8433028.405,5684594.799,2022,2022/09/17 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,800,KONA,DEW DELUXE,MOUNTAIN,UNISEX,BLUE,Sandy Hill,September,Found
-8431835.404,5684117.137,2022,2022/04/25 00:00:00+00,Monday,UNIVERSITIES / COLLEGES,STOLEN,5000,NORC,OPTIC CS,MOUNTAIN,WOMEN'S,SILK,Island Park - Wellington Village,April,Found
-8423710.116,5692387.472,2022,2022/09/18 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,1500,ROCM,N/A,HYBRID,MEN'S,BLUE,Westboro,September,Found
-8423710.116,5692387.472,2022,2022/09/18 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1500,ROCM,N/A,MOUNTAIN,MEN'S,BLUE,Westboro,September,Found
-8444308.978,5665226.763,2022,2022/09/18 00:00:00+00,Sunday,DWELLING UNIT,STOLEN,1399,TREK,FX3,MOUNTAIN,MEN'S,RED,Rockcliffe Park,September,Found
-8444308.978,5665226.763,2022,2022/09/18 00:00:00+00,Sunday,PRIVATE PROPERTY STRUCTURE,STOLEN,1399,TREK,FX3,REGULAR,MEN'S,RED,Rockcliffe Park,September,Found
-8444308.978,5665226.763,2022,2022/09/18 00:00:00+00,Sunday,CONVENIENCE STORES'Age,STOLEN,1399,TREK,FX3,MOUNTAIN,MEN'S,RED,Bridlewood - Emerald Meadows,September,Found
-8425279.586,5685645.137,2022,2022/09/06 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,1150,GIAN,N/A,HYBRID,MEN'S,SILK,Bridlewood - Emerald Meadows,September,Found
-8425279.586,5685645.137,2022,2022/09/06 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,1150,GIAN,N/A,MOUNTAIN,MEN'S,SILK,Bridlewood - Emerald Meadows,September,Found
-8430990.332,5679885.675,2022,2022/09/17 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,800,KONA,DEW,MOUNTAIN,UNISEX,BLACK,Civic Hospital-Central Park,September,Found
-8431337.532,5679047.363,2022,2022/09/16 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,300,UNKNOWN,N/A,MOUNTAIN,MEN'S,BLACK,Civic Hospital-Central Park,September,Found
-8430990.332,5679885.675,2022,2022/09/17 00:00:00+00,Saturday,UNIVERSITIES / COLLEGES,STOLEN,800,KONA,DEW,REGULAR,UNISEX,BLACK,Civic Hospital-Central Park,September,Found
-8425134.587,5688289.587,2022,2022/09/16 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,250,FYXNATION,PIXEL,HYBRID,MEN'S,BLACK,Civic Hospital-Central Park,September,Found
-8430990.332,5679885.675,2022,2022/09/17 00:00:00+00,Saturday,PRIVATE PROPERTY STRUCTURE,STOLEN,100,GARY FISHER,TASS,OTHER,MEN'S,GRAY,Civic Hospital-Central Park,September,Found
-8430990.332,5679885.675,2022,2022/09/17 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,100,GARY FISHER,TASS,MOUNTAIN,MEN'S,GRAY,Sandy Hill,September,Found
-8423598.977,5688524.77,2022,2022/09/15 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,420,DIADORA,N/A,MOUNTAIN,MEN'S,GREEN,Sandy Hill,September,Found
