X,Y,FID_,ID,Year,Reported_D,Reported_Time,Reported_WeekDay,Occurrence,Occurren_1,Occurren_2,Location_T,Primary_Offence,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Speed,Ottawa_Neighboirhood,Ottawa_N_1_policeSector,Ottawa_N_2policeDevision,Census_TractUniqueId,Census_T_1_Name,X_Coordina,Y_Coordina
-8426937,5681425.815,3277,1834,2021,2021/06/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2021/06/19 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,UNIVERSITIES / COLLEGES,THEFT <BICYCLE,STOLEN,900,DEVINCI,N/A,OTHER,MEN'S, DARK BLUE,0,West Centretown,Sector 22,Central,5050020.01,20.01,367417.5989,5026899.964
-8426937,5681425.815,3278,3613,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/27 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,THEFT <BICYCLE,STOLEN,1200,DEVINCI,N/A,HYBRID,UNISEX,BLACK GRAY,0,Glebe - Dows Lake,Sector 22,Central,5050020.01,20.01,367417.5989,5026899.964
-8424022.81,5682167.307,3279,3295,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/26 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,450,NORCO,INDI,HYBRID,MEN'S,BLACK,24,Billings Bridge - Alta Vista,Sector 34,East,5050004,4,369462.4959,5027440.577
-8451605.578,5667083.446,3280,3763,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/28 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,100,RALEIGH,N/A,REGULAR,MEN'S,BLUE,21,Stittsville,Sector 13,West,5050300,300,350134.6241,5016686.592
-8423110.62,5689410.355,3281,3719,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,850,GIANT,ESCAPE 2 DISC C,HYBRID,MEN'S,BLUE,21,Hunt Club - Ottawa Airport,Sector 35,East,5050101,101,370051.5819,5032523.584
-8428352.882,5685769.993,3282,3953,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,PARKING LOTS,THEFT >BICYCLE,STOLEN,400,NORCO,STORM,MOUNTAIN,UNISEX,GRAY,21,Stittsville,Sector 13,West,5050042,42,366391.7019,5029935.564
-8424011.185,5674638.199,3283,3720,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,350,SPECIALIZED,ROCKHOPPER,MOUNTAIN,MEN'S,BLUE,21,Old Ottawa East,Sector 22,Central,5050127,127,369524.8389,5022159.471
-8451605.578,5667083.446,3284,4203,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/28 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,350,UNKNOWN,AUTO-SHIFTING,OTHER,WOMEN'S,PURPLE,0,Carleton University,Sector 22,Central,5050300,300,350134.6241,5016686.592
-8429056.523,5685064.915,3285,4051,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Thursday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,100,SEKINE,N/A,REGULAR,WOMEN'S,LIGHT GREEN,1,Hintonburg - Mechanicsville,Sector 21,Central,5050043,43,365901.7,5029436.56
-8425738.415,5684206.223,3286,4355,2020,2020/09/30 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/09/23 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,700,UNKNOWN,N/A,OTHER,WOMEN'S,TRQ,0,Carleton University,Sector 22,Central,5050019,19,368241.217,5028857.725
-8429056.523,5685064.915,3287,4176,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Thursday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,50,N/A,N/A,OTHER,WOMEN'S,PINK,10,Hintonburg - Mechanicsville,Sector 21,Central,5050043,43,365901.7,5029436.56
-8431025.585,5684493.794,3288,3259,2020,2020/09/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/09/28 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,4000,CANNONDALE,N/A,REGULAR,UNISEX, WHITE BLACK,11,Island Park - Wellington Village,Sector 21,Central,5050045,45,364520.754,5029022.957
-8424022.81,5682167.307,3289,4317,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/26 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,700,CCM,DS-650,MOUNTAIN,MEN'S,SILK,21,Overbrook - McArthur,Sector 25,Central,5050004,4,369462.4959,5027440.577
-8424244.416,5689902.885,3290,3829,2020,2020/09/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/09/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,300,BIRIA,EASY ACCESS,OTHER,MEN'S,DARK GREEN,0,Chapman Mills,Sector 16,West,5050052,52,369251.0929,5032860.42
-8452197.392,5662876.63,3291,4366,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,FOUND,N/A,FELT,QX75,MOUNTAIN,UNISEX,WHITE  TEGREEN,1,Billings Bridge - Alta Vista,Sector 34,East,5050151.04,151.04,349738.583,5013728.426
-8424403.486,5688727.171,3292,3955,2020,2020/09/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/09/28 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,700,GIANT,TCR,RACER,UNISEX,GRAY,0,Sandy Hill,Sector 24,Central,5050051,51,369147.709,5032035.581
-8429056.523,5685064.915,3293,4375,2020,2020/07/30 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Thursday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,150,SPORTEK,AFTERSHOCK,MOUNTAIN,MEN'S,YELLOW,21,Hunt Club - Ottawa Airport,Sector 35,East,5050043,43,365901.7,5029436.56
-8431667.424,5664106.596,3294,4261,2020,2020/09/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/09/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,TRANSIT BUS / BUS SHELTER,THEFT <BICYCLE,STOLEN,400,BIANCHI STRADA,ROAD BIKE,OTHER,MEN'S,RED,1,Lowertown,Sector 24,Central,5050141.12,141.12,364203.8049,5014711.889
-8424580.213,5688275.116,3295,3082,2020,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/07/23 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,RECOVERED,452,GT,AGGRESSOR SPORT,HYBRID,MEN'S, DARK BLUE,10,Old Ottawa East,Sector 22,Central,5050051,51,369026.709,5031717.578
-8427033.179,5684908.029,3296,3126,2020,2020/09/28 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/09/16 00:00:00+00,1899/12/30 00:00:00+00,Monday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,350,SCHWINN,N/A,REGULAR,WOMEN'S, LIGHT BLUE PURPLE,0,Vanier South,Sector 25,Central,5050035,35,367325.706,5029340.558
-8429416.073,5683757.356,3297,3112,2020,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/07/26 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,HOSPITAL,THEFT <BICYCLE,STOLEN,600,FUJI,2018 SILHOUETTE,HYBRID,UNISEX, LIGHT BLUE,8,Sandy Hill,Sector 24,Central,5050034,34,365657.7,5028517.552
-8423717.069,5681731.959,3298,2132,2021,2021/06/29 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2021/06/28 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,1275,GT,AVALANCHE,MOUNTAIN,MEN'S,BLACK,10,Lowertown,Sector 24,Central,5050004,4,369680.7189,5027137.538
-8423817.007,5687099.883,3299,3718,2020,2020/07/29 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/07/27 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,COMMERCIAL DWELLING UNIT,THEFT <BICYCLE,STOLEN,300,HUFFY,N/A,HYBRID,MEN'S,BLUE,0,Civic Hospital-Central Park,Sector 21,Central,5050015,15,369571.7129,5030899.57
-8451188.273,5667179.274,3300,3761,2020,2020/09/28 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/09/27 00:00:00+00,1899/12/30 00:00:00+00,Monday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,N/A,UNKNOWN,N/A,MOUNTAIN,CHILD'S,BLUE,10,Stittsville,Sector 13,West,5050151.07,151.07,350428.1951,5016756.008
