X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,Diff_Rep_Occu,Brand_Popularity,Range_Price,Weekend_or_WeekDay
-8433423.183,5676108.25,2019,2019/07/30 00:00:00+00,Tuesday,OPEN AREAS,STOLEN,800,NORCO,HYBRID,MEN'S,SILK,Sandy Hill,July,3,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8429894.74,5684994.565,2019,2019/09/05 00:00:00+00,Friday,DWELLING UNIT,STOLEN,2000,TREK,TOURING,WOMEN'S,BLUE,Beaverbrook,September,0,Well-Known,AFFORDABLE,Weekend
-8424824.192,5690323.85,2019,2019/09/05 00:00:00+00,Friday,GAS STATION,STOLEN,700,STEEL,TOURING,MEN'S,BLUE,Hintonburg - Mechanicsville,September,0,LESS-RECOGNIZED,LOW PRICE,Weekend
-8426194.266,5687182.615,2019,2019/07/27 00:00:00+00,Monday,DWELLING UNIT,STOLEN,300,DEVINCI,TOURING,UNISEX,WHITE,Stittsville,July,0,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8448704.898,5671982.967,2019,2019/09/06 00:00:00+00,Friday,OPEN AREAS,STOLEN,400,BIANCHI,HYBRID,MEN'S,BLUE,Lowertown,September,4,Well-Known,VERY LOW PRICE,Weekend
-8421741.766,5684728.371,2019,2019/07/29 00:00:00+00,Monday,HOSPITAL,STOLEN,3000,GIANT,MOUNTAIN,MEN'S,WHITE,Riverview,July,0,Well-Known,AFFORDABLE,Week_Day
-8427496.513,5687786.077,2019,2019/07/29 00:00:00+00,Monday,OTHER NON COMMERCIAL/CORPORATE PLACES/ GOVT BLDG,STOLEN,850,GT,HYBRID,MEN'S,BLACK,Whitehaven - Queensway Terrace North,July,2,Well-Known,LOW PRICE,Week_Day
-8426595.681,5690011.204,2019,2019/09/06 00:00:00+00,Friday,"STREETS, ROADS, HIGHWAYS",STOLEN,200,SUPERCYCLE,REGULAR,MEN'S,PURPLE,Byward Market,September,1,FAIRLY RECOGNIZED,VERY LOW PRICE,Weekend
-8424761.45,5689198.998,2019,2019/09/02 00:00:00+00,Friday,DWELLING UNIT,STOLEN,400,KUNSTADT,HYBRID,MEN'S,RED,Glebe - Dows Lake,September,10,LESS-RECOGNIZED,VERY LOW PRICE,Weekend
-8425285.641,5688552.221,2019,2019/04/22 00:00:00+00,Monday,UNIVERSITIES / COLLEGES,STOLEN,200,SUPERCYCLE,MOUNTAIN,MEN'S,BLACK,Sandy Hill,April,2,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8407132.093,5697782.3,2019,2019/09/05 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,400,NOVUS,BMX,MEN'S,YELLOW,Sandy Hill,September,6,LESS-RECOGNIZED,VERY LOW PRICE,Weekend
-8425285.641,5688552.221,2019,2019/04/22 00:00:00+00,Monday,UNIVERSITIES / COLLEGES,STOLEN,300,GIANT,MOUNTAIN,MEN'S,GRAY,Sandy Hill,April,23,Well-Known,VERY LOW PRICE,Week_Day
-8417054.682,5690137.515,2019,2019/09/05 00:00:00+00,Thursday,TRANSIT BUS / BUS SHELTER,STOLEN,900,NORCO,MOUNTAIN,MEN'S,ORANGE,Byward Market,September,0,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8425285.641,5688552.221,2019,2019/04/22 00:00:00+00,Monday,UNIVERSITIES / COLLEGES,STOLEN,600,DEVINCI,HYBRID,UNISEX,RED,Sandy Hill,April,0,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8426479.824,5686072.456,2019,2019/09/05 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,75,NORCO,OTHER,MEN'S,BLACK,Old Ottawa East,September,2,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8425040.801,5683805.178,2019,2019/04/18 00:00:00+00,Saturday,SCHOOLS DURING SUPERVISED ACTIVITY,STOLEN,650,TREK,MOUNTAIN,MEN'S,GREEN,Old Ottawa South,April,0,Well-Known,LOW PRICE,Weekend
-8417054.682,5690137.515,2019,2019/09/05 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,500,GIANT,REGULAR,MEN'S,BLUE,Carson Grove - Carson Meadows,September,1,Well-Known,LOW PRICE,Week_Day
-8425894.487,5688916.338,2019,2019/09/04 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,800,CANNONDALE,HYBRID,MEN'S,GRAY,Carson Grove - Carson Meadows,September,1,Well-Known,LOW PRICE,Week_Day
-8425505.431,5684974.972,2019,2019/04/19 00:00:00+00,Friday,OPEN AREAS,STOLEN,500,TREK,TOURING,WOMEN'S,BLUE,Centretown,April,6,Well-Known,LOW PRICE,Weekend
-8424520.617,5687268.686,2019,2019/09/03 00:00:00+00,Thursday,UNKNOWN,STOLEN,600,LIVE,REGULAR,WOMEN'S,PURPLE,Centretown,September,1,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8425383.543,5687324.266,2019,2019/04/18 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,1000,CROSROAD,HYBRID,UNISEX,BLUE,Glebe - Dows Lake,April,8,LESS-RECOGNIZED,LOW PRICE,Weekend
-8424369.459,5687726.593,2019,2019/09/03 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,STOLEN,900,TREK,RACER,UNISEX,BLUE,Sandy Hill,September,0,Well-Known,LOW PRICE,Week_Day
-8427097.21,5687636.899,2019,2019/04/16 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1750,SCOTT,HYBRID,UNISEX,WHITE,Centretown,April,1,Well-Known,AFFORDABLE,Week_Day
